id,addr,place,class,type,call,lat,lng
125,서울특별시 종로구 삼청로 102,카페 아뜰리에 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
126,서울특별시 종로구 삼청로 102,카페 아뜰리에 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
127,서울특별시 종로구 서순라길 3,가판대 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
128,서울특별시 종로구 서순라길 7,가판대 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
129,서울특별시 종로구 종로3가 2-1,투썸종로3가역 점 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
130,서울특별시 종로구 돈화문로 32-1,스태리 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
131,서울특별시 종로구 돈화문로 35,국수집 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
132,서울특별시 종로구 대학로 95,NH농협은행 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
133,서울특별시 종로구 대학로 95,NH농협은행 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
134,서울특별시 종로구 연건동 28-2,창경궁/서울대병원 버스정류장(01-002) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
135,서울특별시 종로구 연건동 28-2,창경궁/서울대병원 버스정류장(01-002) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
136,서울특별시 종로구 대학로 8길 1,마로니에공원 버스정류장(01-220) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
137,서울특별시 종로구 대학로 8길 2,마로니에공원 버스정류장(01-220) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
138,서울특별시 종로구 종로 200,종로5가 광장시장 버스정류장(01-020) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
139,서울특별시 종로구 종로 200,종로5가 광장시장 버스정류장(01-020) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
140,서울특별시 종로구 창경궁로 235,명륜3가 성대입구 버스정류장(01-003) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
141,서울특별시 종로구 창경궁로 236,명륜3가 성대입구 버스정류장(01-004) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
142,서울특별시 종로구 창경궁로 269,혜화로터리 버스정류장(01-005) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
143,서울특별시 종로구 창경궁로 269,혜화로터리 버스정류장(01-005) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
144,서울특별시 종로구 종로3가 45-4,종로4가 종묘 버스정류장(01-017) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
145,서울특별시 종로구 종로3가 45-4,종로4가 종묘 버스정류장(01-017) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
146,서울특별시 종로구 대학로 145,아이브로우바 앞  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
147,서울특별시 종로구 대학로 145,아이브로우바 앞  정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
148,서울특별시 종로구 대학로 75,방송통신대 버스정류장(01-219) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
149,서울특별시 종로구 대학로 76,방송통신대 버스정류장(01-219) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
150,서울특별시 종로구 종로4가 183,종로5가 광장시장 버스정류장(01-019) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
151,서울특별시 종로구 종로4가 183,종로5가 광장시장 버스정류장(01-019) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
152,서울특별시 종로구 종로5가 82-1,종로6가 버스정류소(01-021) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
153,서울특별시 종로구 종로5가 82-1,종로6가 버스정류소(01-021) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
154,서울특별시 종로구 혜화로 32,혜화초등학교 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
155,서울특별시 종로구 혜화로 33,혜화초등학교 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
156,서울특별시 종로구 지봉로5길 7-5,구민회관 입구 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
157,서울특별시 종로구 지봉로5길 7-6,구민회관 입구 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
158,서울특별시 종로구 종로347,다이소 동묘점 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
159,서울특별시 종로구 종로 347,다이소 동묘점 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
