id,addr,lat,lng,place,class,type,call_number
605,서울 용산구 남영동 131-1,37.5407203949606,126.97370504344,한강대로 크라운해태 건너편 USO건너편인도 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
606,서울 용산구 남영동 131-1,37.5407203949606,126.97370504344,한강대로 크라운해태 건너편 USO건너편인도 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
607,서울 용산구 갈월동 63-1,37.5453204379482,126.972474757752,한강대로 숙대입구역2번출구앞  지하철역 입구,가로쓰레기통,일반쓰레기,
608,서울 용산구 갈월동 63-1,37.5453204379482,126.972474757752,한강대로 숙대입구역2번출구앞  지하철역 입구,가로쓰레기통,일반쓰레기,
609,서울 용산구 갈월동 71-37,37.5489362826574,126.971157789206,한강대로 갈월동 청파동 입구교차로(쌍굴다리)안 공원(갑을빌딩 맞은편) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
610,서울 용산구 갈월동 71-37,37.5489362826574,126.971157789206,한강대로 갈월동 청파동 입구교차로(쌍굴다리)안 공원(갑을빌딩 맞은편) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
611,서울 용산구 갈월동 92-12,37.5422635916954,126.972365217543,남영삼거리 동원부동산앞 횡단보도(고려빌딩 건너편) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
612,서울 용산구 갈월동 92-12,37.5422635916954,126.972365217543,남영삼거리 동원부동산앞 횡단보도(고려빌딩 건너편) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
613,서울 용산구 한강로2가 181-2,37.5298339013681,126.968312116735,신용산역 삼거리 횡단보도앞(신용산역 5번출구 뒷편)  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
614,서울 용산구 한강로2가 181-2,37.5298339013681,126.968312116735,신용산역 삼거리 횡단보도앞(신용산역 5번출구 뒷편) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
615,서울 용산구 이태원동 721-1,37.5429996919192,126.988633852763,이태원주공아파트 담벽인도 남산공원이정표앞  정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
616,서울 용산구 한남동 727-35,37.541257666,127.00305611987,서울시중부기술교육원/블루스퀘어(순천향대학병원/한남오거리방면)(03161) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
617,서울 용산구 한남동 727-35,37.541257666,127.00305611987,서울시중부기술교육원/블루스퀘어(순천향대학병원/한남오거리방면)(03161) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
618,서울 용산구 서빙고동 10-2,37.5242185356767,126.991068575894,한강중학교(금호베스트빌앞방면)버스정류장(03-269) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
619,서울 용산구 동빙고동 170-1,37.5205684923565,126.996276859803,동빙고동(한남역/용산노인종합복지관방면)버스정류장(03-274) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
620,서울 용산구 이태원동 666,37.5398593298984,126.987567326919,이태원동남산대림아파트/용산동아파트(114공인중개사사무소앞) 버스정류장(03-149) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
621,서울 용산구 원효로3가 51-54,37.5330443096257,126.958068014035,용산전자상가•전자랜드(원효대교북단방면)버스정류장(03-137) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
